Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-10 16:40:00-05:00,185.9,185.925,185.63,185.73,185.73,415918
2024-01-10 16:45:00-05:00,185.73,185.78,185.43,185.475,185.475,535605
2024-01-10 16:50:00-05:00,185.47,185.87,185.27,185.865,185.865,796060
2024-01-10 16:55:00-05:00,185.8699,186.27,185.8379,186.15,186.15,2502159
2024-01-11 10:30:00-05:00,186.54,187.05,186.35,186.76,186.76,1117784
2024-01-11 10:35:00-05:00,186.75,186.79,185.64,185.645,185.645,720827
2024-01-11 10:40:00-05:00,185.67,185.865,185.0899,185.17,185.17,746596
2024-01-11 10:45:00-05:00,185.165,185.3,184.675,184.74,184.74,911859
2024-01-11 10:50:00-05:00,184.755,184.99,184.6,184.905,184.905,657063
2024-01-11 10:55:00-05:00,184.91,184.985,184.66,184.73,184.73,564889
2024-01-11 11:00:00-05:00,184.735,184.7698,184.04,184.07,184.07,977995
2024-01-11 11:05:00-05:00,184.085,184.09,183.66,183.84,183.84,939975
2024-01-11 11:10:00-05:00,183.85,184.13,183.62,184.005,184.005,632777
2024-01-11 11:15:00-05:00,184.01,184.51,183.92,184.49,184.49,696497
2024-01-11 11:20:00-05:00,184.49,184.49,184.29,184.39,184.39,511438
2024-01-11 11:25:00-05:00,184.39,184.53,184.14,184.37,184.37,446247
2024-01-11 11:30:00-05:00,184.365,184.66,184.09,184.12,184.12,555262
2024-01-11 11:35:00-05:00,184.1327,184.75,184.13,184.75,184.75,408353
2024-01-11 11:40:00-05:00,184.75,184.8,184.525,184.725,184.725,361182
2024-01-11 11:45:00-05:00,184.735,184.82,184.45,184.56,184.56,318709
2024-01-11 11:50:00-05:00,184.5897,184.76,184.37,184.46,184.46,371235
2024-01-11 11:55:00-05:00,184.47,184.88,184.44,184.68,184.68,391637
2024-01-11 12:00:00-05:00,184.6798,184.87,184.645,184.78,184.78,301052
2024-01-11 12:05:00-05:00,184.78,184.8,184.43,184.47,184.47,412383
2024-01-11 12:10:00-05:00,184.46,184.4901,183.87,183.87,183.87,455660
2024-01-11 12:15:00-05:00,183.875,184.31,183.835,184.28,184.28,422990
2024-01-11 12:20:00-05:00,184.27,184.415,184.13,184.3234,184.3234,307513
2024-01-11 12:25:00-05:00,184.31,184.31,184.15,184.19,184.19,272537
2024-01-11 12:30:00-05:00,184.185,184.2399,184.0509,184.1591,184.1591,276517
2024-01-11 12:35:00-05:00,184.15,184.28,183.94,183.97,183.97,324198
2024-01-11 12:40:00-05:00,183.975,184.1399,183.86,183.97,183.97,298787
2024-01-11 12:45:00-05:00,183.98,184.4084,183.835,184.39,184.39,352476
2024-01-11 12:50:00-05:00,184.395,184.45,183.94,184.002,184.002,395712
2024-01-11 12:55:00-05:00,184.01,184.13,183.9,183.945,183.945,324068
2024-01-11 13:00:00-05:00,183.94,184.115,183.91,184.115,184.115,253695
2024-01-11 13:05:00-05:00,184.105,184.28,184.06,184.225,184.225,210843
2024-01-11 13:10:00-05:00,184.22,184.39,184.12,184.32,184.32,187950
2024-01-11 13:15:00-05:00,184.312,184.39,184.05,184.135,184.135,206919
2024-01-11 13:20:00-05:00,184.15,184.295,184.02,184.16,184.16,217600
2024-01-11 13:25:00-05:00,184.15,184.21,184.03,184.05,184.05,148043
2024-01-11 13:30:00-05:00,184.075,184.21,184.075,184.12,184.12,149851
2024-01-11 13:35:00-05:00,184.12,184.26,184.095,184.23,184.23,214401
2024-01-11 13:40:00-05:00,184.225,184.39,184.2,184.325,184.325,255110
2024-01-11 13:45:00-05:00,184.3231,184.44,184.3,184.41,184.41,136799
2024-01-11 13:50:00-05:00,184.41,184.585,184.41,184.53,184.53,246780
2024-01-11 13:55:00-05:00,184.52,184.555,184.29,184.32,184.32,201939
2024-01-11 14:00:00-05:00,184.32,184.585,184.255,184.58,184.58,258586
2024-01-11 14:05:00-05:00,184.5799,184.67,184.47,184.55,184.55,231064
2024-01-11 14:10:00-05:00,184.57,184.685,184.54,184.685,184.685,145080
2024-01-11 14:15:00-05:00,184.68,184.7772,184.565,184.62,184.62,306208
2024-01-11 14:20:00-05:00,184.615,184.7199,184.57,184.675,184.675,169131
2024-01-11 14:25:00-05:00,184.68,184.735,184.56,184.655,184.655,206080
2024-01-11 14:30:00-05:00,184.67,184.7997,184.56,184.62,184.62,198751
2024-01-11 14:35:00-05:00,184.63,184.78,184.63,184.7,184.7,160994
2024-01-11 14:40:00-05:00,184.7,184.79,184.675,184.7642,184.7642,171115
2024-01-11 14:45:00-05:00,184.77,184.83,184.67,184.725,184.725,189903
2024-01-11 14:50:00-05:00,184.73,185.06,184.71,184.8901,184.8901,466625
2024-01-11 14:55:00-05:00,184.8899,185.17,184.855,185.155,185.155,338252
2024-01-11 15:00:00-05:00,185.1516,185.29,185.0975,185.136,185.136,347679
2024-01-11 15:05:00-05:00,185.14,185.235,184.99,185.03,185.03,207632
2024-01-11 15:10:00-05:00,185.03,185.3,185.025,185.265,185.265,226834
2024-01-11 15:15:00-05:00,185.2655,185.345,185.255,185.3,185.3,346721
2024-01-11 15:20:00-05:00,185.305,185.3344,185.15,185.185,185.185,240798
2024-01-11 15:25:00-05:00,185.1802,185.54,185.17,185.515,185.515,313048
2024-01-11 15:30:00-05:00,185.52,185.64,185.4401,185.525,185.525,260172
2024-01-11 15:35:00-05:00,185.53,185.617,185.495,185.589,185.589,182610
2024-01-11 15:40:00-05:00,185.58,185.7,185.45,185.47,185.47,260804
2024-01-11 15:45:00-05:00,185.465,185.54,185.365,185.3983,185.3983,268531
2024-01-11 15:50:00-05:00,185.4,185.5279,185.4,185.4058,185.4058,245420
2024-01-11 15:55:00-05:00,185.4,185.64,185.36,185.54,185.54,270811
